Movie Name,Release Period,Release Period2,Release Period3,Whether Remake,whether franchise ,Whether Franchise,Genre,new actor,New Actor2,new director,New Director2,new music ,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),Verdict
Ghanchakkar,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Emraan Hashmi,Raj Kumar Gupta,Amit Trivedi,1450,"₹ 29,00,00,000.00","₹ 44,99,15,000.00",Hit
The Killer,1,Normal,0,No,0,No,thriller,0,No,1,Yes,0,No,Emraan Hashmi,Raksha Mistry,Sajid - Wajid,250,"₹ 7,25,00,000.00","₹ 6,53,79,000.00",Average
The Train,1,Normal,1,Yes,0,No,thriller,0,No,0,No,1,Yes,Emraan Hashmi,Raksha Mistry,Mithoon,325,"₹ 7,75,00,000.00","₹ 7,17,18,750.00",Average
Ungli,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Emraan Hashmi,Renzil D'Silva,Gulraj Singh,1800,"₹ 39,00,00,000.00","₹ 24,96,57,500.00",Flop
Rush,0,Holiday,0,No,0,No,thriller,0,No,1,Yes,0,No,Emraan Hashmi,Shamin Desai,Pritam,800,"₹ 18,00,00,000.00","₹ 4,54,00,000.00",Flop
Raaz 3,1,Normal,0,No,1,Yes,horror,0,No,0,No,1,Yes,Emraan Hashmi,Vikram Bhatt,Rashid Khan,2100,"₹ 31,00,00,000.00","₹ 95,26,62,500.00",Blockbuster
Mr. X,1,Normal,0,No,0,No,fantasy,0,No,0,No,0,No,Emraan Hashmi,Vikram Bhatt,Jeet Ganguly,2100,"₹ 37,00,00,000.00","₹ 29,73,62,500.00",Average
Raaz Reboot,1,Normal,0,No,1,Yes,horror,0,No,0,No,0,No,Emraan Hashmi,Vikram Bhatt,Sangeet - Siddharth,1700,"₹ 31,00,00,000.00","₹ 36,96,50,000.00",Hit
Chocolate,1,Normal,0,No,0,No,thriller,0,No,1,Yes,0,No,Emraan Hashmi,Vivek Agnihotri,Pritam,255,"₹ 9,00,00,000.00","₹ 10,35,20,000.00",Hit
Siyaah,1,Normal,0,No,0,No,horror,1,Yes,1,Yes,1,Yes,Faheem Ul Haq,Aziz Naser,Rajesh S.S,50,"₹ 1,25,00,000.00","₹ 13,50,000.00",Flop
Chand Bujh Gaya,1,Normal,0,No,0,No,love_story,0,No,1,Yes,1,Yes,Faisal Khan,Sharique Minhaz,Ali Ghani,20,"₹ 1,75,00,000.00","₹ 15,52,500.00",Flop
Shaadi No. 1,0,Holiday,0,No,0,No,comedy,0,No,0,No,0,No,Fardeen Khan,David Dhawan,Anu Malik,425,"₹ 15,00,00,000.00","₹ 20,49,32,500.00",Hit
Just Married,0,Holiday,0,No,0,No,rom__com,0,No,0,No,0,No,Fardeen Khan,Meghna Gulzar,Pritam,250,"₹ 8,00,00,000.00","₹ 6,21,20,000.00",Average
Dulha Mil Gaya,1,Normal,0,No,0,No,rom__com,0,No,1,Yes,0,No,Fardeen Khan,Mudassar Aziz,Pritam,550,"₹ 22,00,00,000.00","₹ 6,48,50,000.00",Flop
Jai Veeru,1,Normal,0,No,0,No,action,0,No,0,No,0,No,Fardeen Khan,Puneet Sira,Bappa Lahiri,475,"₹ 15,00,00,000.00","₹ 3,80,00,000.00",Flop
Darling,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Fardeen Khan,Ram Gopal Verma,Pritam,240,"₹ 6,50,00,000.00","₹ 4,74,82,500.00",Flop
Ek Khiladi Ek Haseena,1,Normal,0,No,0,No,thriller,0,No,1,Yes,0,No,Fardeen Khan,Suparn Verma,Pritam,300,"₹ 5,75,00,000.00","₹ 7,88,66,250.00",Hit
Acid Factory,1,Normal,1,Yes,0,No,thriller,0,No,0,No,1,Yes,Fardeen Khan,Suparn Verma,Manasi Scott,850,"₹ 21,00,00,000.00","₹ 5,20,00,000.00",Flop
Rock On!!,1,Normal,0,No,0,No,drama,1,Yes,0,No,0,No,Farhan Akhtar,Abhishek Kapoor,Shankar - Ehsaan - Loy,400,"₹ 19,00,00,000.00","₹ 36,09,37,500.00",Hit
Wazir,1,Normal,0,No,0,No,thriller,0,No,0,No,1,Yes,Farhan Akhtar,Bejoy Nambiar,Gaurav Godkhindi,1550,"₹ 36,00,00,000.00","₹ 75,75,15,000.00",Blockbuster
Bhaag Milkha Bhaag,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Farhan Akhtar,Rakesh Omprakash Mehra,Shankar - Ehsaan - Loy,1650,"₹ 53,00,00,000.00","₹ 1,63,78,00,000.00",Blockbuster
Lucknow Central,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Farhan Akhtar,Ranjit Tiwari,Rochak Kohli,1250,"₹ 30,00,00,000.00","₹ 17,93,56,250.00",Flop
Shaadi Ke Side Effects,1,Normal,0,No,1,Yes,rom__com,0,No,0,No,0,No,Farhan Akhtar,Saket Chaudhary,Pritam,1900,"₹ 43,00,00,000.00","₹ 69,63,00,000.00",Hit
Rock On 2,0,Holiday,0,No,1,Yes,drama,0,No,1,Yes,0,No,Farhan Akhtar,Shujaat Saudagar,Shankar - Ehsaan - Loy,1450,"₹ 45,00,00,000.00","₹ 17,76,00,000.00",Flop
Karthik Calling Karthik,0,Holiday,0,No,0,No,thriller,0,No,1,Yes,0,No,Farhan Akhtar,Vijay Lalwani,Shankar - Ehsaan - Loy,850,"₹ 20,00,00,000.00","₹ 28,22,00,000.00",Hit
Luck By Chance,0,Holiday,0,No,0,No,drama,0,No,1,Yes,0,No,Farhan Akhtar,Zoya Akhtar,Shankar - Ehsaan - Loy,600,"₹ 18,00,00,000.00","₹ 21,60,75,000.00",Hit
Children Of War,1,Normal,0,No,0,No,drama,0,No,1,Yes,1,Yes,Farooque Shaikh,Mrityunjay Devvrat,Sidhant Mathur,275,"₹ 9,00,00,000.00","₹ 75,00,000.00",Flop
Lahore,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Farooque Shaikh,Sanjay Puran Singh Chauhan,M.M. Kreem,325,"₹ 9,50,00,000.00","₹ 1,21,00,000.00",Flop
Barefoot To Goa,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Farrukh Jaffar,Praveen Morchhale,Rohit Sharma,25,"₹ 60,00,000.00","₹ 4,20,000.00",Flop
Main Hoon Durga,1,Normal,0,No,0,No,action,1,Yes,1,Yes,0,No,Fatima,A. Rajesh,Ravindra Jain,20,"₹ 70,00,000.00","₹ 6,50,000.00",Flop
Khoobsurat,1,Normal,0,No,0,No,rom__com,1,Yes,0,No,0,No,Fawad Khan,Shashanka Ghosh,Sneha Khanwalkar,1150,"₹ 23,00,00,000.00","₹ 50,67,15,000.00",Blockbuster
Aaj Ka Fashion Trend,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Gagan Nimesh,Jaganath S.R.,Lava Kumar S.R.,10,"₹ 20,00,000.00","₹ 1,40,000.00",Flop
Tum Ho Yaara,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,0,No,Ganesh Venkatraman,Natty Kumar,Faizan Hussain,5,"₹ 60,00,000.00","₹ 5,50,000.00",Flop
Na Jaane Kabse,1,Normal,0,No,0,No,rom__com,1,Yes,1,Yes,1,Yes,Garry Gill,Pammi Somal,Jatin Pandit,75,"₹ 3,00,00,000.00","₹ 7,50,000.00",Flop
Muskurake Dekh Zara,1,Normal,0,No,0,No,rom__com,1,Yes,1,Yes,0,No,Gashmeer Mahajani,P. Som Shekar,Ranjit Barot,175,"₹ 3,50,00,000.00","₹ 29,00,000.00",Flop
Vroom,1,Normal,0,No,0,No,comedy,1,Yes,1,Yes,0,No,Gaurav Bajaj,Savin Tuscano,Sanjoy Chowdhary,75,"₹ 4,00,00,000.00","₹ 7,50,000.00",Flop
Hota Hai Dil Pyaar Mein Paagal,0,Holiday,0,No,0,No,love_story,1,Yes,0,No,1,Yes,Gaurav Kakkar,Mahesh Kapoor,Ali Vasudev,5,"₹ 1,00,00,000.00","₹ 1,75,000.00",Flop
Bad Luck Govind,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,Gaurav Kapur,Varun Khanna,Anu Malik,65,"₹ 3,75,00,000.00","₹ 9,75,000.00",Flop
Bhooton Ki Raasleela,1,Normal,0,No,0,No,adult,1,Yes,1,Yes,1,Yes,Gauri Angel,Shravan Jain,Munni Raj,1,"₹ 20,00,000.00","₹ 5,00,000.00",Flop
Go,1,Normal,0,No,0,No,drama,1,Yes,0,No,1,Yes,Gautam Gupta,Manish Shrivastava,Sneha Khanwalkar,210,"₹ 5,50,00,000.00","₹ 2,06,00,000.00",Flop
Shoot At Sight,0,Holiday,0,No,0,No,thriller,1,Yes,0,No,0,No,Gautam Jadhav,Harish Bhonsle,Madhu Bhosle,4,"₹ 10,00,000.00","₹ 87,000.00",Flop
Let's Dance,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Gayatri Patel,Aarif Sheikh,Vipin Mishra,70,"₹ 4,50,00,000.00","₹ 7,50,000.00",Flop
Will To Live,0,Holiday,0,No,0,No,drama,1,Yes,1,Yes,0,No,Geoffrey Broderick,Charles Sleichter,Bappi Lahiri,10,"₹ 55,00,000.00","₹ 55,000.00",Flop
Ramaiya Vastavaiya,1,Normal,1,Yes,0,No,love_story,1,Yes,0,No,0,No,Girish Taurani,Prabhu Deva,Sachin - Jigar,1400,"₹ 38,00,00,000.00","₹ 38,34,20,000.00",Hit
Loveshhuda,0,Holiday,0,No,0,No,rom__com,0,No,1,Yes,0,No,Girish Taurani,Vaibhav Misra,Mithoon,900,"₹ 22,00,00,000.00","₹ 4,29,12,500.00",Flop
Sandwich,0,Holiday,0,No,0,No,comedy,0,No,0,No,0,No,Govinda,Anees Bazmee,Aadesh Shrivastava,90,"₹ 10,00,00,000.00","₹ 68,00,000.00",Flop
Do Knot Disturb,0,Holiday,0,No,0,No,comedy,0,No,0,No,0,No,Govinda,David Dhawan,Nadeem - Shravan,1000,"₹ 30,00,00,000.00","₹ 27,89,00,000.00",Average
Money Hai Toh Honey Hai,1,Normal,0,No,0,No,comedy,0,No,0,No,1,Yes,Govinda,Ganesh Acharya,Sony Chandy,525,"₹ 18,00,00,000.00","₹ 6,26,25,000.00",Flop
Khullam Khulla Pyaar Karen,0,Holiday,0,No,0,No,comedy,0,No,0,No,0,No,Govinda,Harmesh Malhotra,Anand - Milind,60,"₹ 6,75,00,000.00","₹ 1,17,87,500.00",Flop
Naughty @ 40,0,Holiday,0,No,0,No,comedy,0,No,0,No,0,No,Govinda,Jag Mundhra,Monty Sharma,425,"₹ 10,00,00,000.00","₹ 1,94,00,000.00",Flop
Jahan Jaaeyega Humen Paaeyega,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Govinda,Janmendra Ahuja,Aadesh Shrivastava,20,"₹ 4,00,00,000.00","₹ 21,50,000.00",Flop
Deewana Main Deewana,1,Normal,0,No,0,No,love_story,0,No,0,No,0,No,Govinda,K.C. Bokadia,Bappi Lahiri,200,"₹ 5,00,00,000.00","₹ 44,00,000.00",Flop
Ssukh,1,Normal,0,No,0,No,drama,0,No,0,No,1,Yes,Govinda,Kirti Kumar,Kamini Khanna,25,"₹ 5,00,00,000.00","₹ 12,50,000.00",Flop
Loot,0,Holiday,0,No,0,No,comedy,0,No,1,Yes,0,No,Govinda,Rajnish Thakur,Shabbir Ahmed,625,"₹ 15,00,00,000.00","₹ 4,41,00,000.00",Flop
Life Partner,0,Holiday,0,No,0,No,comedy,0,No,0,No,0,No,Govinda,Rumi Jaffery,Pritam,900,"₹ 25,00,00,000.00","₹ 33,02,20,000.00",Hit
Chal Chala Chal,0,Holiday,0,No,0,No,comedy,0,No,0,No,0,No,Govinda,T.K. Rajiv Kumar,Anu Malik,150,"₹ 8,00,00,000.00","₹ 1,78,00,000.00",Flop
Yehi Hai Zindagi,1,Normal,0,No,0,No,drama,0,No,0,No,1,Yes,Gracy Singh,Ajay Panesekar,Arvind Haldipur,25,"₹ 1,00,00,000.00","₹ 21,00,000.00",Flop
Mahabharat Aur Barbareek,1,Normal,0,No,0,No,mythological,0,No,1,Yes,0,No,Gracy Singh,Dharmesh Tiwari,Ravindra Jain,15,"₹ 1,75,00,000.00","₹ 17,50,000.00",Flop
Chanchal,1,Normal,0,No,0,No,drama,0,No,1,Yes,1,Yes,Gracy Singh,Indrajit Singh,Kuldeep Singh,2,"₹ 1,00,00,000.00","₹ 1,42,500.00",Flop
Dekh Re Dekh,1,Normal,0,No,0,No,comedy,0,No,1,Yes,1,Yes,Gracy Singh,Rahat Kazmi,Abu Zar,80,"₹ 1,50,00,000.00","₹ 14,25,000.00",Flop
Milta Hai Chance By Chance,0,Holiday,0,No,0,No,love_story,0,No,0,No,1,Yes,Gracy Singh,Ramesh Modi,Jatin Pandit,20,"₹ 1,50,00,000.00","₹ 3,10,000.00",Flop
Aseema,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Gracy Singh,Sisir Mishra,Shamir Tandon,7,"₹ 1,00,00,000.00","₹ 70,000.00",Flop
Meri Marzi,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Guddi Maruti,Kuldeepak Bakshi,Ravee Jule,1,"₹ 40,00,000.00","₹ 35,000.00",Flop
Hello Darling,1,Normal,0,No,0,No,comedy,0,No,1,Yes,0,No,Gul Panag,Manoj Tiwari,Pritam,475,"₹ 11,00,00,000.00","₹ 2,62,00,000.00",Flop
Red Light,0,Holiday,0,No,0,No,adult,0,No,0,No,1,Yes,Gulshan Rana,Suresh Jain,Shivam Bagchi,1,"₹ 15,00,000.00","₹ 14,00,000.00",Average
The Real Dream Girl,1,Normal,0,No,0,No,adult,0,No,0,No,0,No,Gulshan Rana,Suresh Jain,Shivam Farhaan,1,"₹ 20,00,000.00","₹ 11,00,000.00",Flop
I Am Singh,1,Normal,0,No,0,No,drama,1,Yes,0,No,1,Yes,Gulzar Inder Chahal,Puneet Issar,Sudhakar Sharma,300,"₹ 9,00,00,000.00","₹ 43,50,000.00",Flop
The Dirty MMS,1,Normal,0,No,0,No,adult,1,Yes,1,Yes,1,Yes,Gunj,Sudhir Pillai,Billu,2,"₹ 20,00,000.00","₹ 14,00,000.00",Flop
Meri Shadi Karao,1,Normal,0,No,0,No,rom__com,1,Yes,1,Yes,1,Yes,Gurdeep Mehndi,Syed Noor,Daler Mehndi,90,"₹ 2,25,00,000.00","₹ 20,50,000.00",Flop
MSG - The Warrior Lion Heart,0,Holiday,0,No,1,Yes,drama,0,No,1,Yes,0,No,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,450,"₹ 18,00,00,000.00","₹ 17,66,67,500.00",Average
Hind Ka Napak Ko Jawab - MSG Lion Heart-2,0,Holiday,0,No,1,Yes,action,0,No,0,No,0,No,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,525,"₹ 12,00,00,000.00","₹ 14,36,07,000.00",Hit
Jattu Engineer,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,200,"₹ 9,00,00,000.00","₹ 9,97,24,500.00",Hit
MSG - The Messenger Of God,0,Holiday,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Gurmeet Ram Rahim Singh,Jeetu Arora,Gurmeet Ram Rahim Singh,650,"₹ 30,00,00,000.00","₹ 16,89,90,000.00",Flop
MSG 2 - The Messenger,1,Normal,0,No,1,Yes,drama,1,Yes,1,Yes,1,Yes,Gurmeet Ram Rahim Singh,Jeetu Arora,Gurmeet Ram Rahim Singh,500,"₹ 23,00,00,000.00","₹ 17,17,72,500.00",Flop
Banana Brothers,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Gursewak Mann,Girja Shankar,Jaidev Kumar,15,"₹ 3,00,00,000.00","₹ 2,75,000.00",Flop
Lateef - The King Of Crime,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Hameed Khan,Sharique Minhaj,C.P. Aslam,125,"₹ 3,00,00,000.00","₹ 22,00,000.00",Flop
Bengaloored,0,Holiday,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Harish Raj,Swaroop Kanchi,Vasu Dixit,5,"₹ 50,00,000.00","₹ 1,95,000.00",Flop
Victory,0,Holiday,0,No,0,No,drama,0,No,1,Yes,0,No,Harman Baweja,Ajit Pal Mangat,Anu Malik,325,"₹ 19,00,00,000.00","₹ 1,92,35,000.00",Flop
Love Story 2050,0,Holiday,0,No,0,No,fantasy,1,Yes,0,No,0,No,Harman Baweja,Harry Baweja,Anu Malik,900,"₹ 40,00,00,000.00","₹ 18,47,37,500.00",Flop
Dishkiyaoon,0,Holiday,0,No,0,No,thriller,0,No,1,Yes,0,No,Harman Baweja,Sanamjit Talwar,Sneha Khanwalkar,1550,"₹ 3,90,00,000.00","₹ 6,88,72,500.00",Hit
My Friend Ganesha 2,0,Holiday,0,No,1,Yes,drama,0,No,0,No,1,Yes,Harsh Chhaya,Rajiv S. Ruia,Vinay Kapadia,15,"₹ 2,50,00,000.00","₹ 4,00,000.00",Flop
I Am Kalam,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Harsh Mayar,Nila Madhab Panda,Susmit Bose,150,"₹ 2,00,00,000.00","₹ 1,42,00,000.00",Flop
Jigariyaa,0,Holiday,0,No,0,No,love_story,1,Yes,0,No,1,Yes,Harshvardhan Deo,Raj Purohit,Raj - Prakash,350,"₹ 6,00,00,000.00","₹ 27,00,000.00",Flop
Mirzya,0,Holiday,0,No,0,No,love_story,1,Yes,0,No,0,No,Harshvardhan Kapoor,Rakesh Omprakash Mehra,Shankar - Ehsaan - Loy,1750,"₹ 63,00,00,000.00","₹ 13,46,65,000.00",Flop
Sanam Teri Kasam,1,Normal,0,No,0,No,love_story,1,Yes,0,No,0,No,Harshvardhan Rane,Lawrence D'Souza,Nadeem - Shravan,10,"₹ 2,50,00,000.00","₹ 7,25,000.00",Flop
Ek Thi Rani Aisi Bhi,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Hema Malini,Gul Bahar Singh,Hriju Roy,65,"₹ 40,00,000.00","₹ 8,75,000.00",Flop
2 Nights In Soul Valley,0,Holiday,0,No,0,No,horror,0,No,1,Yes,1,Yes,Hemant Pandey,Harish Sharma,Varsha,20,"₹ 30,00,000.00","₹ 2,75,000.00",Flop
Yaariyan,1,Normal,0,No,0,No,love_story,1,Yes,1,Yes,0,No,Himansh Kohli,Divya Khosla,Honey Singh,1400,"₹ 21,00,00,000.00","₹ 52,40,50,000.00",Blockbuster
Ranchi Diaries,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Himansh Kohli,Sattwik Mohanty,Jeet Ganguly,575,"₹ 4,25,00,000.00","₹ 1,11,00,000.00",Flop
Login,1,Normal,0,No,0,No,thriller,1,Yes,1,Yes,1,Yes,Himanshu Bhatt,Sanjeev Reddy,Sunil Kashyap,10,"₹ 2,00,00,000.00","₹ 2,75,000.00",Flop
Rain,0,Holiday,0,No,0,No,thriller,0,No,0,No,1,Yes,Himanshu Malik,Amol Shetge,Satish - Ajay,45,"₹ 1,25,00,000.00","₹ 98,88,000.00",Average
The Xpose,1,Normal,0,No,0,No,thriller,0,No,0,No,0,No,Himesh Reshammiya,Anant Mahadevan,Himesh Reshammiya,1050,"₹ 15,00,00,000.00","₹ 12,96,00,000.00",Average
Radio,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Himesh Reshammiya,Ishaan Trivedi,Himesh Reshammiya,275,"₹ 9,00,00,000.00","₹ 97,00,000.00",Flop
Kajraare,0,Holiday,0,No,0,No,love_story,0,No,0,No,0,No,Himesh Reshammiya,Pooja Bhatt,Himesh Reshammiya,2,"₹ 12,00,00,000.00","₹ 70,000.00",Flop
Karzzzz,1,Normal,1,Yes,0,No,drama,1,Yes,0,No,0,No,Himesh Reshammiya,Satish Kaushik,Himesh Reshammiya,900,"₹ 24,00,00,000.00","₹ 16,28,00,000.00",Flop
Teraa Surroor,1,Normal,0,No,1,Yes,thriller,0,No,0,No,0,No,Himesh Reshammiya,Shawn Arranha,Himesh Reshammiya,1150,"₹ 15,00,00,000.00","₹ 8,54,00,000.00",Flop
Damadamm!,0,Holiday,0,No,0,No,comedy,0,No,1,Yes,0,No,Himesh Reshammiya,Swapna Joshi,Himesh Reshammiya,225,"₹ 5,00,00,000.00","₹ 91,00,000.00",Flop
Aap Kaa Surroor,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,0,No,Himesh Reshammiya,Vijay Taneja,Himesh Reshammiya,550,"₹ 9,00,00,000.00","₹ 19,16,00,000.00",Blockbuster
Www.Sheetal Bhabhi.com,1,Normal,0,No,0,No,comedy,0,No,1,Yes,0,No,Hina Rehman,C.M. Jain,Gunwant Sharma,175,"₹ 1,25,00,000.00","₹ 43,50,000.00",Flop
Shaabash! You Can Do It!,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Hitesh Agrawal,Shankar Mondal,Santokh Singh,3,"₹ 70,00,000.00","₹ 72,500.00",Flop
5ters: Castle of Dark Master,1,Normal,0,No,0,No,fantasy,1,Yes,1,Yes,1,Yes,Hithaishaini,G. Venugopal,Manikanth Kadari,15,"₹ 1,75,00,000.00","₹ 72,500.00",Flop
Jigyaasa,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Hrishita Bhatt,Faisal Saif,Ram Shankar,25,"₹ 2,00,00,000.00","₹ 27,00,000.00",Flop
Kites,1,Normal,0,No,0,No,thriller,0,No,0,No,0,No,Hrithik Roshan,Anurag Basu,Rajesh Roshan,1800,"₹ 82,00,00,000.00","₹ 86,33,20,000.00",Hit
Jodhaa Akbar,1,Normal,0,No,0,No,love_story,0,No,0,No,0,No,Hrithik Roshan,Ashutosh Gowariker,A.R. Rehman,1000,"₹ 55,00,00,000.00","₹ 1,07,78,17,500.00",Hit
Mohenjo Daro,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Hrithik Roshan,Ashutosh Gowariker,A.R. Rehman,2700,"₹ 1,38,00,00,000.00","₹ 1,04,07,50,000.00",Average
Agneepath,0,Holiday,1,Yes,0,No,action,0,No,1,Yes,0,No,Hrithik Roshan,Karan Malhotra,Ajay - Atul,2600,"₹ 71,00,00,000.00","₹ 1,94,32,75,000.00",Blockbuster
Krrish,1,Normal,0,No,0,No,action,0,No,0,No,0,No,Hrithik Roshan,Rakesh Roshan,Rajesh Roshan,950,"₹ 40,00,00,000.00","₹ 1,26,55,87,500.00",Blockbuster
Krrish 3,0,Holiday,0,No,1,Yes,action,0,No,0,No,0,No,Hrithik Roshan,Rakesh Roshan,Rajesh Roshan,3500,"₹ 95,00,00,000.00","₹ 2,91,52,40,000.00",Blockbuster
Dhoom 2,0,Holiday,0,No,1,Yes,action,0,No,0,No,0,No,Hrithik Roshan,Sanjay Gadhvi,Pritam,1000,"₹ 42,00,00,000.00","₹ 1,51,38,90,000.00",Blockbuster
Kaabil,0,Holiday,0,No,0,No,thriller,0,No,0,No,0,No,Hrithik Roshan,Sanjay Gupta,Rajesh Roshan,2550,"₹ 89,00,00,000.00","₹ 1,54,51,40,000.00",Hit
Guzaarish,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Hrithik Roshan,Sanjay Leela Bhansali,Sanjay Leela Bhansali,1300,"₹ 74,00,00,000.00","₹ 54,89,45,000.00",Flop
Bang Bang,0,Holiday,1,Yes,0,No,action,0,No,0,No,0,No,Hrithik Roshan,Siddharth Anand,Vishal - Shekhar,3250,"₹ 1,60,00,00,000.00","₹ 2,70,69,12,500.00",Hit
Zindagi Na Milegi Dobara,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Hrithik Roshan,Zoya Akhtar,Shankar - Ehsaan - Loy,1400,"₹ 60,00,00,000.00","₹ 1,53,16,10,000.00",Blockbuster
Greater Elephant,0,Holiday,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Hussain Dalal,Srinivas Sunderrajan,Swarathma,3,"₹ 30,00,000.00","₹ 72,000.00",Flop
Shree,1,Normal,0,No,0,No,thriller,1,Yes,1,Yes,1,Yes,Hussain Kuwajerwala,Rajesh Bachchani,Talaash - Band Of Seekers,100,"₹ 3,00,00,000.00","₹ 17,50,000.00",Flop
Chaska - An Addiction,0,Holiday,0,No,0,No,adult,1,Yes,1,Yes,1,Yes,Hyder Ali,Hridhay Sharma,Sunil Singh,1,"₹ 20,00,000.00","₹ 12,50,000.00",Flop
Aishwarya,1,Normal,0,No,0,No,drama,1,Yes,0,No,0,No,Ihad Khan,Joy Augustine,Vishnu Narayan,45,"₹ 55,00,000.00","₹ 36,00,000.00",Flop
Dil Dosti Etc,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Imaad Shah,Manish Tiwary,Agnee,135,"₹ 3,50,00,000.00","₹ 3,74,00,000.00",Hit
404,1,Normal,0,No,0,No,thriller,0,No,0,No,1,Yes,Imaad Shah,Prawal Raman,Imaad Shah,225,"₹ 4,00,00,000.00","₹ 1,57,00,000.00",Flop
Bhookh - The Hunger Of Body,0,Holiday,0,No,0,No,adult,1,Yes,0,No,0,No,Imran,Kishan Shah,Sawan Kumar Sawan,3,"₹ 25,00,000.00","₹ 21,00,000.00",Average
Jaane Tu... Ya Jaane Na,0,Holiday,0,No,0,No,love_story,0,No,1,Yes,0,No,Imran Khan,Abbas Tyrewala,A.R. Rehman,600,"₹ 15,00,00,000.00","₹ 84,20,22,500.00",Blockbuster
Delhi Belly,0,Holiday,0,No,0,No,comedy,0,No,1,Yes,0,No,Imran Khan,Abhinay Deo,Ram Sampath,1250,"₹ 23,00,00,000.00","₹ 91,19,50,000.00",Blockbuster
Mere Brother Ki Dulhan,0,Holiday,0,No,0,No,rom__com,0,No,1,Yes,0,No,Imran Khan,Ali Abbas Zafar,Sohail Sen,1650,"₹ 32,00,00,000.00","₹ 93,84,20,000.00",Blockbuster
Break Ke Baad,1,Normal,0,No,0,No,rom__com,0,No,1,Yes,0,No,Imran Khan,Danish Aslam,Vishal - Shekhar,875,"₹ 22,00,00,000.00","₹ 28,41,00,000.00",Hit
Katti Batti,1,Normal,0,No,0,No,rom__com,0,No,0,No,0,No,Imran Khan,Nikhil Advani,Shankar - Ehsaan - Loy,1250,"₹ 32,00,00,000.00","₹ 42,64,25,000.00",Hit
I Hate Luv Storys,1,Normal,0,No,0,No,love_story,0,No,1,Yes,1,Yes,Imran Khan,Punit Malhotra,Vishal - Shekhar ,1050,"₹ 23,00,00,000.00","₹ 73,99,57,500.00",Blockbuster
Gori Tere Pyaar Mein,0,Holiday,0,No,0,No,rom__com,0,No,0,No,0,No,Imran Khan,Punit Malhotra,Vishal - Shekhar,1400,"₹ 45,00,00,000.00","₹ 31,12,07,500.00",Flop
Kidnap,0,Holiday,0,No,0,No,thriller,0,No,0,No,0,No,Imran Khan,Sanjay Gadhvi,Pritam,875,"₹ 31,00,00,000.00","₹ 35,60,60,000.00",Hit
Matru Ki Bijlee Ka Mandola,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Imran Khan,Vishal Bhardwaj,Vishal Bhardwaj,1850,"₹ 41,00,00,000.00","₹ 61,76,15,000.00",Hit
Ziyarat,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Irfan Choudhary,Suresh K. Goswami,Bhajan Sopori,2,"₹ 40,00,000.00","₹ 35,000.00",Flop
Life In A Metro,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Irrfan Khan,Anurag Basu,Pritam,225,"₹ 9,50,00,000.00","₹ 24,45,35,000.00",Blockbuster
