Movie Name,Release Period,Release Period2,Release Period3,Whether Remake,whether franchise ,Whether Franchise,Genre,new actor,New Actor2,new director,New Director2,new music ,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),Verdict
O Teri,0,Holiday,0,No,0,No,comedy,0,No,1,Yes,1,Yes,Pulkit Samrat,Umesh Bist,G.J. Singh,900,"₹ 15,00,00,000.00","₹ 4,82,00,000.00",Flop
Junooniyat,1,Normal,0,No,0,No,love_story,0,No,0,No,0,No,Pulkit Samrat,Vivek Agnihotri,Meet Bros,800,"₹ 12,00,00,000.00","₹ 5,13,00,000.00",Flop
Satya 2,0,Holiday,0,No,1,Yes,thriller,1,Yes,0,No,0,No,Puneet Singh Ratn,Ram Gopal Verma,Nitin Raikwar,750,"₹ 14,00,00,000.00","₹ 2,84,00,000.00",Flop
Turning 30!!!,0,Holiday,0,No,0,No,drama,0,No,1,Yes,0,No,Purab Kohli,Alankrita Shrivastava,Siddharth - Suhas,175,"₹ 7,00,00,000.00","₹ 1,63,00,000.00",Flop
Jal,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Purab Kohli,Girish Malik,Bikram Ghosh,275,"₹ 6,00,00,000.00","₹ 70,00,000.00",Flop
Kaun Ho Sakta Hai?,1,Normal,0,No,0,No,suspense,0,No,1,Yes,0,No,Purab Kohli,Harsh Kohli,Bappi Lahiri,4,"₹ 30,00,000.00","₹ 35,000.00",Flop
Hide & Seek,1,Normal,0,No,0,No,thriller,0,No,1,Yes,0,No,Purab Kohli,Shawn Arranha,Chirantan Bhatt,275,"₹ 4,00,00,000.00","₹ 64,00,000.00",Flop
Tahaan,1,Normal,0,No,0,No,drama,1,Yes,0,No,0,No,Purav Bhandare,Santosh Sivan,Adnan Sami,100,"₹ 3,00,00,000.00","₹ 48,00,000.00",Flop
Meinu Ek Ladki Chaahiye,1,Normal,0,No,0,No,comedy,1,Yes,1,Yes,0,No,Puru Chibber,Abhishek Bindal,Ravi Pawar,125,"₹ 2,00,00,000.00","₹ 15,50,000.00",Flop
Huff! It's Too Much,0,Holiday,0,No,0,No,rom__com,1,Yes,1,Yes,1,Yes,Pushkar Jog,Pushkar Jog,Saii - Piiyush,25,"₹ 3,50,00,000.00","₹ 4,00,000.00",Flop
Tanu Weds Manu,0,Holiday,0,No,0,No,love_story,0,No,0,No,1,Yes,R. Madhavan,Anand L. Rai,Krsna,850,"₹ 21,00,00,000.00","₹ 56,41,35,000.00",Blockbuster
Tanu Weds Manu Returns,1,Normal,0,No,1,Yes,rom__com,0,No,0,No,1,Yes,R. Madhavan,Anand L. Rai,Surj RDB,2150,"₹ 39,00,00,000.00","₹ 2,43,64,35,000.00",Blockbuster
Jodi Breakers,1,Normal,0,No,0,No,comedy,0,No,0,No,0,No,R. Madhavan,Ashwini Chaudhary,Salim - Sulaiman,1000,"₹ 21,00,00,000.00","₹ 14,64,67,500.00",Flop
Ramji Londonwaley,1,Normal,1,Yes,0,No,comedy,0,No,1,Yes,0,No,R. Madhavan,Sanjay Dayma,Vishal Bhardwaj,115,"₹ 4,00,00,000.00","₹ 2,95,25,000.00",Flop
Sachin - A Billion Dreams,1,Normal,0,No,0,No,documentary,1,Yes,1,Yes,0,No,Sachin Tendulkar,James Erskine,A.R. Rehman,1950,"₹ 39,00,00,000.00","₹ 64,95,15,000.00",Hit
13B,0,Holiday,1,Yes,0,No,horror,0,No,1,Yes,1,Yes,R. Madhavan,Vikram K. Kumar,Tubby Parik,550,"₹ 12,00,00,000.00","₹ 10,09,60,000.00",Average
Julie 2,0,Holiday,0,No,1,Yes,thriller,1,Yes,0,No,1,Yes,Raai Laxmi,Deepak Shivdasani,Atif Ali,1000,"₹ 8,50,00,000.00","₹ 3,31,00,000.00",Flop
Parched,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Radhika Apte,Leena Yadav,Hitesh Sonik,275,"₹ 24,00,00,000.00","₹ 12,03,00,000.00",Flop
Phobia,1,Normal,0,No,0,No,horror,0,No,0,No,0,No,Radhika Apte,Pawan Kirpalani,Daniel B. George,625,"₹ 8,50,00,000.00","₹ 5,29,00,000.00",Flop
Mumbhai Connection,1,Normal,0,No,0,No,drama,1,Yes,1,Yes,1,Yes,Rafiq Batcha,Atlanta Nagendra,Praveen Duth Stephen,2,"₹ 2,00,00,000.00","₹ 32,500.00",Flop
Le Gaya Saddam,0,Holiday,0,No,0,No,drama,0,No,1,Yes,0,No,Raghuvir Yadav,Amjad Khan,Jaideep Choudhury,30,"₹ 1,50,00,000.00","₹ 7,00,000.00",Flop
Azaan - The Awakening Call,0,Holiday,0,No,0,No,drama,0,No,1,Yes,0,No,Raghuvir Yadav,Chandramohan Nillay,Ravindra Jain,10,"₹ 45,00,000.00","₹ 1,75,000.00",Flop
Chal Pichchur Banate Hain,1,Normal,0,No,0,No,drama,0,No,1,Yes,1,Yes,Rahil Tandon,Pritish Chakraborty,Gaurav Dagaonkar,90,"₹ 3,50,00,000.00","₹ 20,00,000.00",Flop
Mumbai Aadhi Raat Mein,1,Normal,0,No,0,No,adult,0,No,1,Yes,0,No,Rahul,Kaushal Singh,S. Prabhath,2,"₹ 25,00,000.00","₹ 72,500.00",Flop
Yeh Hai U Turn,1,Normal,0,No,0,No,adult,0,No,1,Yes,1,Yes,Rahul,Vikrant Bhatt,Manoj Santoshi,2,"₹ 15,00,000.00","₹ 6,50,000.00",Flop
Mastram,0,Holiday,0,No,0,No,drama,1,Yes,1,Yes,0,No,Rahul Bagga,Akhilesh Jaiswal,Honey Singh,800,"₹ 6,00,00,000.00","₹ 4,71,00,000.00",Average
The Japanese Wife,1,Normal,0,No,0,No,drama,0,No,0,No,0,No,Rahul Bose,Aparna Sen,Sagar Desai,30,"₹ 1,50,00,000.00","₹ 50,00,000.00",Flop
Kucch Luv Jaisa,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Rahul Bose,Barnali Ray Shukla,Pritam,400,"₹ 10,00,00,000.00","₹ 3,75,00,000.00",Flop
Chain Kulii Ki Main Kulii,1,Normal,0,No,0,No,comedy,0,No,1,Yes,0,No,Rahul Bose,Kittu Saluja,Salim - Sulaiman,130,"₹ 4,00,00,000.00","₹ 1,56,00,000.00",Flop
Pyaar Ke Side Effects,1,Normal,0,No,0,No,comedy,0,No,1,Yes,0,No,Rahul Bose,Saket Chaudhary,Pritam,225,"₹ 6,50,00,000.00","₹ 12,18,90,000.00",Hit
Shaurya,1,Normal,1,Yes,0,No,drama,0,No,0,No,0,No,Rahul Bose,Samar Khan,Adnan Sami,175,"₹ 4,50,00,000.00","₹ 3,24,00,000.00",Flop
White Noise,0,Holiday,0,No,0,No,drama,0,No,1,Yes,0,No,Rahul Bose,Vinta Nanda,Ashutosh Phatak,8,"₹ 1,00,00,000.00","₹ 24,50,000.00",Flop
Dil Kabaddi,1,Normal,0,No,0,No,comedy,0,No,1,Yes,1,Yes,Rahul Khanna,Anil Senior,Sachin Gupta,325,"₹ 10,00,00,000.00","₹ 5,27,00,000.00",Flop
Raqeeb,1,Normal,0,No,0,No,thriller,0,No,1,Yes,0,No,Rahul Khanna,Anurag Singh,Pritam,190,"₹ 6,25,00,000.00","₹ 1,78,22,500.00",Flop
Fireflies,1,Normal,0,No,0,No,drama,0,No,1,Yes,1,Yes,Rahul Khanna,Sabal Singh Shekhawat,Zubin Balaporia,65,"₹ 1,75,00,000.00","₹ 9,00,000.00",Flop
My Friend Ganesha 3,1,Normal,0,No,1,Yes,animation,1,Yes,0,No,0,No,Rahul Pendkalkar,Rajiv S. Ruia,Baba Sehgal,50,"₹ 3,25,00,000.00","₹ 23,00,000.00",Flop
Crime Partner,1,Normal,0,No,0,No,thriller,0,No,1,Yes,1,Yes,Rahul Roy,Aditya Kaushik,Kishore Parashar,1,"₹ 85,00,000.00","₹ 17,50,000.00",Flop
Meri Aashiqui,1,Normal,0,No,0,No,drama,0,No,1,Yes,0,No,Rahul Roy,P. Jitendra,Nishad Vaidya,10,"₹ 60,00,000.00","₹ 27,00,000.00",Flop
